Year,ID,Name,Ideal.point
1946,USA,United States of America,1.714
1946,CAN,Canada,1.849
1946,CUB,Cuba,1.214
1946,HAI,Haiti,0.627
1946,DOM,Dominican Republic,1.554
1946,MEX,Mexico,0.894
1946,GUA,Guatemala,0.448
1946,HON,Honduras,1.218
1946,SAL,El Salvador,1.98
1946,NIC,Nicaragua,2.086
1946,COS,Costa Rica,2.044
1946,PAN,Panama,1.236
1946,COL,Colombia,0.309
1946,VEN,Venezuela,0.651
1946,ECU,Ecuador,0.975
1946,PER,Peru,1.879
1946,BRA,Brazil,1.574
1946,BOL,Bolivia,1.376
1946,PAR,Paraguay,2.142
1946,CHL,Chile,0.846
1946,ARG,Argentina,1.841
1946,URU,Uruguay,1.468
1946,UKG,United Kingdom,2.158
1946,NTH,Netherlands,2.011
1946,BEL,Belgium,1.732
1946,LUX,Luxembourg,1.819
1946,FRN,France,0.894
1946,POL,Poland,-1.606
1946,CZE,Czechoslovakia,-0.796
1946,YUG,Yugoslavia,-2.303
1946,GRC,Greece,2.021
1946,RUS,Russia,-2.296
1946,UKR,Ukraine,-2.368
1946,BLR,Belarus,-2.324
1946,SWD,Sweden,1.262
1946,NOR,Norway,0.966
1946,DEN,Denmark,1.231
1946,ICE,Iceland,1.209
1946,LBR,Liberia,-0.192
1946,ETH,Ethiopia,0.441
1946,SAF,South Africa,1.834
1946,IRN,Iran,0.757
1946,TUR,Turkey,1.619
1946,IRQ,Iraq,0.703
1946,EGY,Egypt,0.729
1946,SYR,Syria,0.825
1946,LEB,Lebanon,1.009
1946,SAU,Saudi Arabia,0.756
1946,AFG,Afghanistan,0.669
1946,TAW,Taiwan,0.741
1946,IND,India,-0.043
1946,PHI,Philippines,0.93
1946,AUL,Australia,1.527
1946,NEW,New Zealand,1.621
1947,USA,United States of America,1.813
1947,CAN,Canada,1.987
1947,CUB,Cuba,1.059
1947,HAI,Haiti,0.448
1947,DOM,Dominican Republic,1.722
1947,MEX,Mexico,0.735
1947,GUA,Guatemala,0.341
1947,HON,Honduras,1.047
1947,SAL,El Salvador,1.903
1947,NIC,Nicaragua,2.202
1947,COS,Costa Rica,2.133
1947,PAN,Panama,1.013
1947,COL,Colombia,0.723
1947,VEN,Venezuela,0.834
1947,ECU,Ecuador,1.251
1947,PER,Peru,1.699
1947,BRA,Brazil,1.565
1947,BOL,Bolivia,1.439
1947,PAR,Paraguay,2.177
1947,CHL,Chile,1.106
1947,ARG,Argentina,1.966
1947,URU,Uruguay,1.472
1947,UKG,United Kingdom,2.119
1947,NTH,Netherlands,1.928
1947,BEL,Belgium,1.822
1947,LUX,Luxembourg,1.765
1947,FRN,France,1.157
